App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,sentiment_score
Betterment,FINANCE,4.4,3780,11M,100000,Free,0.0,Everyone,Finance,"August 3, 2018",6.0.6,5.0 and up,0.14325219763259925
Citizens Bank Mobile Banking,FINANCE,4.1,15192,38M,1000000,Free,0.0,Everyone,Finance,"May 23, 2018",4.2.1,4.1 and up,0.013179054741554742
GoBank,FINANCE,4.4,5950,12M,500000,Free,0.0,Everyone,Finance,"June 1, 2018",2.131,4.1 and up,0.03910082839680541
BBVA Compass Banking,FINANCE,4.3,5905,50M,500000,Free,0.0,Everyone,Finance,"July 27, 2018",6.0.2,4.4 and up,0.20559022446491657
BankMobile Vibe App,FINANCE,4.3,14627,23M,1000000,Free,0.0,Everyone,Finance,"July 9, 2018",5.1,4.1 and up,0.35345457682414205
ACE Elite,FINANCE,4.1,2898,45M,100000,Free,0.0,Everyone,Finance,"May 9, 2018",4.10.0,4.4 and up,0.25217091550424886
Associated Credit Union Mobile,FINANCE,4.7,3290,12M,50000,Free,0.0,Everyone,Finance,"May 30, 2018",5.9.1.0,5.0 and up,0.38809282879818596
Bank of America Mobile Banking,FINANCE,4.4,341090,53M,10000000,Free,0.0,Everyone,Finance,"July 31, 2018",7.8.8,4.4 and up,0.1800268291975881
Discover Mobile,FINANCE,4.6,87951,68M,5000000,Free,0.0,Everyone,Finance,"July 23, 2018",9.7.0,4.1 and up,-0.041666666666666664
Amex Mobile,FINANCE,4.3,24729,32M,1000000,Free,0.0,Everyone,Finance,"August 3, 2018",6.7.0,5.0 and up,0.17566632595799261
Citi Mobile®,FINANCE,4.0,78306,46M,5000000,Free,0.0,Everyone,Finance,"July 31, 2018",9.9.0,4.4 and up,-0.038730654761904765
Chase Mobile,FINANCE,4.6,1374549,32M,10000000,Free,0.0,Everyone,Finance,"July 23, 2018",3.52,5.0 and up,0.04816599670171099
HDFC Bank MobileBanking,FINANCE,4.2,208463,Varies with device,10000000,Free,0.0,Everyone,Finance,"July 26, 2018",Varies with device,Varies with device,0.1114486703772418
Barclays US for Android,FINANCE,4.1,6998,24M,1000000,Free,0.0,Everyone,Finance,"August 1, 2018",6.29.37589,5.0 and up,0.0179280039983165
Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9M,100000,Free,0.0,Everyone,Food & Drink,"May 15, 2018",2.12,4.0.3 and up,0.27053819444444444
Debonairs Pizza,FOOD_AND_DRINK,3.8,3320,8.4M,500000,Free,0.0,Everyone,Food & Drink,"August 4, 2018",1.9.117,4.0.3 and up,0.0465277777777778
Healthy Recipes Free,FOOD_AND_DRINK,4.0,1077,17M,100000,Free,0.0,Everyone,Food & Drink,"October 18, 2017",3.2.0,4.0.3 and up,0.4033939116439117
Cookbook Recipes,FOOD_AND_DRINK,4.1,46539,Varies with device,5000000,Free,0.0,Teen,Food & Drink,"July 23, 2018",Varies with device,Varies with device,0.565437038093288
Easy Healthy Recipes,FOOD_AND_DRINK,4.1,278,7.2M,50000,Free,0.0,Everyone,Food & Drink,"July 20, 2018",24.5.0,4.0 and up,0.44576247387669804
Allrecipes Dinner Spinner,FOOD_AND_DRINK,4.5,61881,Varies with device,5000000,Free,0.0,Everyone,Food & Drink,"April 10, 2018",Varies with device,Varies with device,0.27299954431533385
Cookpad,FOOD_AND_DRINK,4.5,131569,8.2M,10000000,Free,0.0,Everyone,Food & Drink,"August 3, 2018",2.76.2.0-android,4.2 and up,0.2574367684784351
"BigOven Recipes, Meal Planner, Grocery List & More",FOOD_AND_DRINK,4.3,31986,76M,1000000,Free,0.0,Teen,Food & Drink,"November 23, 2017",5.7.23,5.0 and up,0.3282224025974026
Foursquare City Guide,FOOD_AND_DRINK,4.1,483960,Varies with device,10000000,Free,0.0,Teen,Food & Drink,"July 23, 2018",Varies with device,Varies with device,0.20027867965367965
Grubhub: Food Delivery,FOOD_AND_DRINK,4.5,155944,35M,5000000,Free,0.0,Everyone,Food & Drink,"August 2, 2018",7.12,5.0 and up,0.12273932938406623
Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,10000000,Free,0.0,Everyone,Food & Drink,"July 20, 2018",Varies with device,Varies with device,0.20907864159338213
Eat24 Food Delivery & Takeout,FOOD_AND_DRINK,4.3,40116,Varies with device,1000000,Free,0.0,Everyone,Food & Drink,"August 2, 2018",Varies with device,Varies with device,0.1716105214230214
EatStreet Food Delivery App,FOOD_AND_DRINK,4.6,7690,25M,100000,Free,0.0,Everyone,Food & Drink,"July 3, 2018",3.1.14,5.0 and up,0.3832653026403027
Caviar - Food Delivery,FOOD_AND_DRINK,4.2,3755,8.5M,100000,Free,0.0,Everyone,Food & Drink,"July 20, 2018",2.4.11,6.0 and up,0.21737478089040588
DoorDash - Food Delivery,FOOD_AND_DRINK,4.5,104504,Varies with device,1000000,Free,0.0,Everyone,Food & Drink,"July 31, 2018",Varies with device,Varies with device,0.07240710302429051
30 Day Fitness Challenge - Workout at Home,HEALTH_AND_FITNESS,4.8,471036,Varies with device,10000000,Free,0.0,Everyone,Health & Fitness,"August 3, 2018",Varies with device,4.0 and up,0.3335368733928642
Home Workout for Men - Bodybuilding,HEALTH_AND_FITNESS,4.8,12705,15M,1000000,Free,0.0,Everyone,Health & Fitness,"July 10, 2018",1.0.2,4.0 and up,0.5234495192307692
Fat Burning Workout - Home Weight lose,HEALTH_AND_FITNESS,4.5,706,9.4M,100000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",1.0.5,4.1 and up,0.17526900953984287
Fitbit,HEALTH_AND_FITNESS,3.9,357417,Varies with device,10000000,Free,0.0,Everyone,Health & Fitness,"July 26, 2018",Varies with device,Varies with device,0.24555465367965368
Cycling - Bike Tracker,HEALTH_AND_FITNESS,4.5,9116,4.0M,500000,Free,0.0,Everyone,Health & Fitness,"July 30, 2018",1.1.22,4.1 and up,0.3521468253968254
Abs Training-Burn belly fat,HEALTH_AND_FITNESS,4.7,2071,6.9M,100000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",1.0.12,4.1 and up,0.21741882334004728
Calorie Counter - EasyFit free,HEALTH_AND_FITNESS,4.7,50294,11M,1000000,Free,0.0,Everyone,Health & Fitness,"July 9, 2018",3.0.7,4.1 and up,0.3480287178805847
Garmin Connect™,HEALTH_AND_FITNESS,3.9,232153,Varies with device,10000000,Free,0.0,Everyone,Health & Fitness,"August 2, 2018",Varies with device,Varies with device,0.15480992965367965
BetterMe: Weight Loss Workouts,HEALTH_AND_FITNESS,4.2,14709,15M,5000000,Free,0.0,Everyone,Health & Fitness,"July 26, 2018",2.8.2,5.0 and up,0.29227532274407275
Bike Computer - GPS Cycling Tracker,HEALTH_AND_FITNESS,4.4,12029,4.3M,1000000,Free,0.0,Everyone,Health & Fitness,"August 4, 2018",2.6,4.2 and up,0.28197840354090353
Couch to 10K Running Trainer,HEALTH_AND_FITNESS,4.6,10445,48M,500000,Free,0.0,Everyone,Health & Fitness,"July 2, 2018",112.0,4.4 and up,0.33737879109977326
"Home workouts - fat burning, abs, legs, arms,chest",HEALTH_AND_FITNESS,4.3,4848,13M,1000000,Free,0.0,Everyone,Health & Fitness,"July 18, 2018",2.6,4.1 and up,0.4482204861111111
7 Minute Workout,HEALTH_AND_FITNESS,4.5,399009,Varies with device,10000000,Free,0.0,Everyone,Health & Fitness,"June 8, 2018",Varies with device,Varies with device,0.4102777777777778
Freeletics: Personal Trainer & Fitness Workouts,HEALTH_AND_FITNESS,4.5,130104,25M,10000000,Free,0.0,Everyone,Health & Fitness,"August 3, 2018",5.3,5.0 and up,0.27425068204365083
Daily Workouts - Exercise Fitness Routine Trainer,HEALTH_AND_FITNESS,4.4,134195,Varies with device,10000000,Free,0.0,Everyone,Health & Fitness,"June 14, 2018",Varies with device,Varies with device,0.8
Google Fit - Fitness Tracking,HEALTH_AND_FITNESS,3.9,249855,Varies with device,10000000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",Varies with device,Varies with device,0.1300530303030303
8fit Workouts & Meal Planner,HEALTH_AND_FITNESS,4.6,115721,67M,10000000,Free,0.0,Everyone,Health & Fitness,"July 11, 2018",3.5.0,5.0 and up,0.2648642413061273
Down Dog: Great Yoga Anywhere,HEALTH_AND_FITNESS,4.9,28945,12M,500000,Free,0.0,Teen,Health & Fitness,"May 17, 2018",2.6.1,4.2 and up,0.2918472637721826
Best Ovulation Tracker Fertility Calendar App Glow,HEALTH_AND_FITNESS,4.6,56145,23M,1000000,Free,0.0,Everyone,Health & Fitness,"August 1, 2018",7.3.4-play,5.0 and up,0.5953125
"Eve Period Tracker - Love, Sex & Relationships App",HEALTH_AND_FITNESS,4.6,20326,28M,1000000,Free,0.0,Teen,Health & Fitness,"August 4, 2018",2.9.18,4.1 and up,0.5050367080835831
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1M,1000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",4.5.4,4.1 and up,0.27732642225499365
Fooducate Healthy Weight Loss & Calorie Counter,HEALTH_AND_FITNESS,4.4,14402,Varies with device,1000000,Free,0.0,Everyone,Health & Fitness,"August 3, 2018",Varies with device,Varies with device,0.35421692335820487
Calorie Counter - MyNetDiary,HEALTH_AND_FITNESS,4.5,27439,19M,1000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",6.5.1,5.0 and up,0.37584199559148174
10 Best Foods for You,HEALTH_AND_FITNESS,4.0,2490,3.8M,500000,Free,0.0,Everyone 10+,Health & Fitness,"February 17, 2017",1.9,2.3.3 and up,0.4707328206587227
Eat Fit - Diet and Health Free,HEALTH_AND_FITNESS,4.1,2469,3.6M,100000,Free,0.0,Everyone,Health & Fitness,"July 23, 2014",1.0.9,2.3 and up,0.24504414682539682
Calorie Counter - Macros,HEALTH_AND_FITNESS,4.0,3061,5.5M,100000,Free,0.0,Everyone,Health & Fitness,"August 27, 2016",2.3.4,5.0 and up,0.24751868247122885
Calorie Counter & Diet Tracker,HEALTH_AND_FITNESS,4.5,32606,Varies with device,1000000,Free,0.0,Everyone,Health & Fitness,"March 22, 2018",Varies with device,Varies with device,0.229177692374865
Health and Nutrition Guide,HEALTH_AND_FITNESS,4.3,7895,3.3M,500000,Free,0.0,Everyone,Health & Fitness,"July 15, 2018",3.3,4.0 and up,0.39151077097505665
Food Calorie Calculator,HEALTH_AND_FITNESS,4.2,1324,4.0M,100000,Free,0.0,Everyone,Health & Fitness,"January 29, 2018",10.2.0,4.0 and up,0.09797280294231513
Calorie Counter - MyFitnessPal,HEALTH_AND_FITNESS,4.6,1873523,Varies with device,50000000,Free,0.0,Everyone,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.21652262369662179
Happify,HEALTH_AND_FITNESS,3.7,1812,37M,100000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",1.31.0-15160.950adac99,4.4 and up,0.2188967803030303
Binaural Beats Therapy,HEALTH_AND_FITNESS,4.3,13724,Varies with device,1000000,Free,0.0,Everyone,Health & Fitness,"August 17, 2017",Varies with device,Varies with device,0.2832687528520862
Brain Waves - Binaural Beats,HEALTH_AND_FITNESS,4.4,5038,10M,500000,Free,0.0,Everyone,Health & Fitness,"July 15, 2018",5.2,4.4 and up,0.22173148899711398
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15M,100000,Free,0.0,Everyone,Health & Fitness,"August 2, 2018",3.0.0,4.1 and up,0.25801367845117845
"Fabulous: Motivate Me! Meditate, Relax, Sleep",HEALTH_AND_FITNESS,4.6,205299,31M,5000000,Free,0.0,Everyone,Health & Fitness,"July 16, 2018",3.48,4.1 and up,0.19199594209527246
7 Cups: Anxiety & Stress Chat,HEALTH_AND_FITNESS,4.2,13799,Varies with device,500000,Free,0.0,Teen,Health & Fitness,"July 31, 2018",Varies with device,Varies with device,0.3246701388888889
"Calm - Meditate, Sleep, Relax",HEALTH_AND_FITNESS,4.6,111455,Varies with device,5000000,Free,0.0,Everyone,Health & Fitness,"August 5, 2018",Varies with device,Varies with device,0.289524200921179
Headspace: Meditation & Mindfulness,HEALTH_AND_FITNESS,4.6,77563,39M,10000000,Free,0.0,Everyone,Health & Fitness,"July 23, 2018",3.6.4,4.2 and up,0.22700757575757577
Daily Yoga - Yoga Fitness Plans,HEALTH_AND_FITNESS,4.4,70769,35M,5000000,Free,0.0,Everyone,Health & Fitness,"July 24, 2018",6.2.73,4.0 and up,0.2570176467051467
"Homes.com 🏠 For Sale, Rent",HOUSE_AND_HOME,4.0,6000,18M,1000000,Free,0.0,Everyone,House & Home,"July 28, 2018",9.6.8,4.1 and up,0.23836580086580086
Gold Butterfly Keyboard Theme,HOUSE_AND_HOME,4.3,10054,9.1M,1000000,Free,0.0,Everyone,House & Home,"July 12, 2018",6.7.12.2018,4.0.3 and up,0.4308228519166019
"Apartment, Home Rental Search: Realtor.com Rentals",HOUSE_AND_HOME,3.9,10117,13M,1000000,Free,0.0,Everyone,House & Home,"June 29, 2018",3.6,4.0.3 and up,-0.0037329004329004225
DIY On A Budget,HOUSE_AND_HOME,4.7,114,8.3M,10000,Free,0.0,Teen,House & Home,"February 18, 2018",2.1,4.1 and up,0.44806264074729985
Free Foreclosure Real Estate Search by USHUD.com,HOUSE_AND_HOME,3.4,287,27M,100000,Free,0.0,Everyone,House & Home,"May 29, 2018",2.4.2,4.4 and up,-0.03836728574277404
Alfred Home Security Camera,HOUSE_AND_HOME,4.5,103305,Varies with device,5000000,Free,0.0,Everyone,House & Home,"July 31, 2018",Varies with device,Varies with device,0.33757424242424244
Home Decor Showpiece Art making: Medium Difficulty,HOUSE_AND_HOME,4.3,273,7.0M,50000,Free,0.0,Everyone,House & Home,"May 30, 2018",1.2,4.0.3 and up,0.19186666666666669
ColorSnap® Visualizer,HOUSE_AND_HOME,3.4,3280,77M,1000000,Free,0.0,Everyone,House & Home,"June 29, 2018",5.0.1,4.0.3 and up,0.024391025641025642
Apartment Decorating Ideas,HOUSE_AND_HOME,3.9,1478,5.7M,100000,Free,0.0,Everyone,House & Home,"March 13, 2015",1.2,3.0 and up,0.245
Bathroom Decorating Ideas,HOUSE_AND_HOME,4.1,2427,5.3M,500000,Free,0.0,Everyone,House & Home,"March 12, 2015",1.4,3.0 and up,0.36267578125
"Apartment List: Housing, Apt, and Property Rentals",HOUSE_AND_HOME,4.5,8481,7.5M,1000000,Free,0.0,Everyone,House & Home,"August 3, 2018",2.1.0,5.0 and up,0.4664228723404255
Homesnap Real Estate & Rentals,HOUSE_AND_HOME,4.3,3834,30M,500000,Free,0.0,Everyone,House & Home,"July 31, 2018",5.20.38,4.2 and up,0.27684800170068025
Apartments & Rentals - Zillow,HOUSE_AND_HOME,4.2,27387,Varies with device,1000000,Free,0.0,Everyone,House & Home,"June 21, 2018",Varies with device,Varies with device,0.29299168634395906
Apartments.com Rental Search,HOUSE_AND_HOME,4.3,22584,16M,1000000,Free,0.0,Everyone,House & Home,"July 16, 2018",4.7.13,4.4 and up,0.07240305487588096
Aviary Effects: Classic,LIBRARIES_AND_DEMO,3.8,67007,232k,5000000,Free,0.0,Everyone,Libraries & Demo,"March 6, 2013",1.2.0,2.2 and up,0.1062411935866177
Chakra Cleansing,LIBRARIES_AND_DEMO,4.6,539,99M,50000,Free,0.0,Everyone,Libraries & Demo,"August 2, 2018",7.0,4.0.3 and up,0.42473518668831167
Aviary Stickers: Free Pack,LIBRARIES_AND_DEMO,3.5,126862,624k,10000000,Free,0.0,Everyone,Libraries & Demo,"January 17, 2012",1.0,2.2 and up,0.0658285525785526
Binaural Beats Meditation,LIBRARIES_AND_DEMO,4.3,411,95M,50000,Free,0.0,Everyone,Libraries & Demo,"June 8, 2018",5.0,4.0.3 and up,0.35351810515873017
Essential Resources,LIBRARIES_AND_DEMO,4.6,237,8.5k,50000,Free,0.0,Everyone,Libraries & Demo,"September 27, 2017",1.02,7.1 and up,0.2814196231286075
Apk Installer,LIBRARIES_AND_DEMO,3.8,7750,292k,1000000,Free,0.0,Everyone,Libraries & Demo,"June 29, 2011",1.0,1.6 and up,0.1939169472502806
Cool Popular Ringtones 2018 🔥,LIBRARIES_AND_DEMO,4.5,60170,28M,1000000,Free,0.0,Everyone,Libraries & Demo,"July 13, 2018",2.4,5.0 and up,0.20348488136574072
Barcode Scanner,LIBRARIES_AND_DEMO,4.2,3945,9.4M,500000,Free,0.0,Everyone,Libraries & Demo,"January 9, 2018",4.2.2,3.2 and up,0.38627013377013375
EyeCloud,LIBRARIES_AND_DEMO,3.1,1267,55M,100000,Free,0.0,Everyone,Libraries & Demo,"August 2, 2018",5.1.2,4.4 and up,0.11717855447022114
Easy Hair Style Design,LIFESTYLE,4.3,601,5.1M,100000,Free,0.0,Everyone,Lifestyle,"December 20, 2017",1.0,2.3 and up,0.4902037037037037
Easy Makeup Tutorials,LIFESTYLE,4.3,7287,5.0M,1000000,Free,0.0,Everyone,Lifestyle,"November 3, 2016",1.0,2.3 and up,0.2819713754609588
Horoscopes – Daily Zodiac Horoscope and Astrology,LIFESTYLE,4.6,161143,11M,10000000,Free,0.0,Everyone 10+,Lifestyle,"June 25, 2018",5.2.4(881),4.0.3 and up,0.2643148577612863
Entel,LIFESTYLE,3.2,16168,55M,1000000,Free,0.0,Everyone,Lifestyle,"July 26, 2018",2.2.9,4.0.3 and up,0.018577117327117334
FOSSIL Q: DESIGN YOUR DIAL,LIFESTYLE,4.3,985,16M,500000,Free,0.0,Everyone,Lifestyle,"May 31, 2018",3.7,7.0 and up,0.2397669880624426
Family Locator - GPS Tracker,LIFESTYLE,4.4,726074,45M,10000000,Free,0.0,Everyone,Lifestyle,"August 2, 2018",16.7.1,4.4 and up,0.358575352385135
HTC Speak,LIFESTYLE,3.5,6145,13M,10000000,Free,0.0,Everyone,Lifestyle,"June 30, 2016",8.00.775375,5.0 and up,0.004105720668220667
Anime Avatar Creator: Make Your Own Avatar,LIFESTYLE,4.2,10944,36M,1000000,Free,0.0,Everyone,Lifestyle,"June 15, 2018",2.0,4.1 and up,0.20215771508819977
Beautiful Design Birthday Cake,LIFESTYLE,4.3,665,3.0M,500000,Free,0.0,Everyone,Lifestyle,"August 4, 2018",2.0,2.3 and up,0.2703075396825396
H Pack,LIFESTYLE,4.3,9412,1.7M,1000000,Free,0.0,Everyone,Lifestyle,"December 17, 2016",1.5.1,4.0.3 and up,0.10824242424242422
Big Days - Events Countdown,LIFESTYLE,4.6,39724,Varies with device,1000000,Free,0.0,Everyone,Lifestyle,"June 29, 2018",Varies with device,Varies with device,0.28541372721928276
DIY Garden Ideas,LIFESTYLE,4.1,3309,13M,500000,Free,0.0,Everyone,Lifestyle,"August 5, 2018",10.0,4.0 and up,0.4440441176470588
Homestyler Interior Design & Decorating Ideas,LIFESTYLE,4.1,78298,29M,5000000,Free,0.0,Everyone,Lifestyle,"August 2, 2018",3.1.2.1,4.1 and up,0.1756305397541127
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,100000,Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up,0.05532565701260391
Etta Homes,LIFESTYLE,4.2,220,15M,50000,Free,0.0,Everyone,Lifestyle,"July 26, 2018",9.1.0,5.0 and up,0.34462250712250714
Home Scouting® MLS Mobile,LIFESTYLE,4.3,1533,7.7M,100000,Free,0.0,Everyone,Lifestyle,"September 27, 2016",2.2.6,2.2 and up,0.090935808982684
Housing-Real Estate & Property,LIFESTYLE,4.1,28301,Varies with device,1000000,Free,0.0,Everyone,Lifestyle,"July 13, 2018",12.1.0,4.1 and up,-0.02142698240912526
Bed Time Fan - White Noise Sleep Sounds,LIFESTYLE,4.5,10097,7.5M,500000,Free,0.0,Everyone,Lifestyle,"April 26, 2018",1.2,4.0 and up,0.78125
7 Day Food Journal Challenge,LIFESTYLE,4.5,3346,14M,100000,Free,0.0,Teen,Lifestyle,"March 8, 2017",3.6.3,4.0.3 and up,0.18941137566137567
Bubble Witch 3 Saga,GAME,4.7,1732263,78M,50000000,Free,0.0,Everyone,Puzzle,"July 17, 2018",4.8.4,3.0 and up,0.06538467779287192
Farm Fruit Pop: Party Time,GAME,4.4,9305,14M,1000000,Free,0.0,Everyone,Casual,"August 2, 2018",1.9.2,4.0.3 and up,0.16502772177419353
Extreme Car Driving Simulator,GAME,4.3,2251012,52M,100000000,Free,0.0,Everyone,Racing,"May 3, 2018",4.17.2,4.0 and up,-0.07361111111111113
Color Road,GAME,4.1,84911,71M,10000000,Free,0.0,Everyone,Arcade,"July 19, 2018",2.5.0,4.1 and up,-0.05935675703532847
Draw In,GAME,4.2,46416,73M,10000000,Free,0.0,Everyone,Arcade,"July 23, 2018",1.0.8,4.1 and up,-0.13416666666666668
Baseball Boy!,GAME,3.4,148177,78M,10000000,Free,0.0,Everyone,Arcade,"July 27, 2018",1.7.2,4.1 and up,0.012272397197141415
Hello Stars,GAME,4.6,101686,31M,10000000,Free,0.0,Everyone,Puzzle,"August 4, 2018",1.8.2,4.1 and up,0.16833037194977493
Flip the Gun - Simulator Game,GAME,4.2,195558,86M,10000000,Free,0.0,Everyone,Arcade,"July 26, 2018",1.2,5.0 and up,-0.008393065268065273
Grim Soul: Dark Fantasy Survival,GAME,4.5,189773,95M,5000000,Free,0.0,Teen,Role Playing,"July 18, 2018",1.1.1,4.1 and up,0.052306128678220126
Disney Heroes: Battle Mode,GAME,4.6,102107,Varies with device,5000000,Free,0.0,Everyone 10+,Strategy,"July 31, 2018",1.2.2,Varies with device,-0.0049999999999999975
Hero Hunters,GAME,4.4,70747,99M,5000000,Free,0.0,Teen,Action,"July 31, 2018",1.7,4.4 and up,-0.021667189003126506
Cooking Madness - A Chef's Restaurant Games,GAME,4.7,358817,49M,10000000,Free,0.0,Everyone,Arcade,"July 30, 2018",1.2.2,4.1 and up,0.013550644982006586
Dino War: Rise of Beasts,GAME,4.1,18996,81M,1000000,Free,0.0,Teen,Strategy,"August 1, 2018",1.5.2,4.1 and up,0.05913700974216846
Guns of Glory,GAME,4.0,120592,77M,10000000,Free,0.0,Everyone 10+,Strategy,"July 31, 2018",2.0.2,4.0.3 and up,-0.1420604256854257
Chapters: Interactive Stories,GAME,4.5,73539,96M,1000000,Free,0.0,Mature 17+,Role Playing,"August 2, 2018",1.3.3,4.3 and up,0.14904506568386025
Farming Simulator 18,GAME,4.5,18125,15M,100000,Paid,4.99,Everyone,Simulation;Education,"July 9, 2018",Varies with device,4.4 and up,0.06446713240463241
Call of Duty:Black Ops Zombies,GAME,4.2,13004,46M,100000,Paid,6.99,Teen,Action,"December 20, 2016",1.0.11,2.3.3 and up,-0.16211950231481478
Harry Potter: Hogwarts Mystery,GAME,4.4,1107197,Varies with device,10000000,Free,0.0,Teen,Adventure,"August 1, 2018",1.8.2,4.4 and up,0.05756053950883682
Game of Thrones: Conquest™,GAME,4.0,90218,97M,1000000,Free,0.0,Teen,Strategy,"August 3, 2018",1.8.225278,6.0 and up,0.1988888888888889
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83M,5000000,Free,0.0,Teen,Role Playing,"July 17, 2018",3.0.2,4.0.3 and up,0.07081548550701008
Fate/Grand Order (English),GAME,4.4,16601,55M,500000,Free,0.0,Teen,Role Playing,"July 26, 2018",1.18.0,4.0 and up,0.060880930701243195
Honkai Impact 3rd,GAME,4.7,59017,82M,1000000,Free,0.0,Teen,Action,"July 3, 2018",2.2.1,4.3 and up,0.10148298021520949
Candy Crush Soda Saga,GAME,4.4,6199095,67M,100000000,Free,0.0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up,-0.057079365716447526
Homescapes,GAME,4.6,3093932,Varies with device,10000000,Free,0.0,Everyone,Casual,"July 13, 2018",1.8.0.900,4.0.3 and up,0.038252643863011755
Cooking Fever,GAME,4.5,3198176,82M,100000000,Free,0.0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up,-0.04233144260559366
Gardenscapes,GAME,4.6,4129665,Varies with device,50000000,Free,0.0,Everyone,Casual,"July 13, 2018",2.6.2,4.0.3 and up,0.019585137969696343
Fishdom,GAME,4.6,2158580,Varies with device,10000000,Free,0.0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up,0.05951484930383431
Galaxy Attack: Alien Shooter,GAME,4.6,506593,Varies with device,10000000,Free,0.0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up,0.07728975087930312
Fruits Bomb,GAME,4.4,74695,17M,10000000,Free,0.0,Everyone,Casual,"July 6, 2018",3.3.3179,4.0.3 and up,0.20532335280753003
Doodle Jump,GAME,4.3,1083571,Varies with device,50000000,Free,0.0,Everyone,Arcade,"July 20, 2018",Varies with device,Varies with device,0.11363000290604457
CATS: Crash Arena Turbo Stars,GAME,4.7,1559650,Varies with device,50000000,Free,0.0,Everyone,Action,"July 9, 2018",2.11.1,4.1 and up,0.028953154691858066
Extreme Match,GAME,4.5,696,Varies with device,100000,Free,0.0,Everyone,Action,"July 5, 2018",1.1.7,4.1 and up,0.19446454876142374
Battlelands Royale,GAME,4.4,105620,61M,1000000,Free,0.0,Everyone 10+,Action,"July 16, 2018",0.5.8,4.1 and up,0.04040619484832413
Arrow.io,GAME,4.5,343263,Varies with device,10000000,Free,0.0,Everyone 10+,Action,"August 6, 2018",1.2.6,4.0.3 and up,0.08073817355889724
BEYBLADE BURST app,GAME,4.5,216849,Varies with device,10000000,Free,0.0,Everyone,Action;Action & Adventure,"July 16, 2018",Varies with device,Varies with device,-0.013927395906562572
Dragon Hills,GAME,4.5,354373,66M,10000000,Free,0.0,Everyone 10+,Action,"October 12, 2017",1.2.7,4.1 and up,0.040340518278018274
Dinosaur Simulator: Dino World,GAME,4.0,26649,66M,5000000,Free,0.0,Teen,Action,"August 5, 2018",1.2,4.2 and up,-0.013141025641025646
GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75M,50000000,Free,0.0,Teen,Action,"August 1, 2018",2.6.61,4.0.3 and up,0.02222591795753971
Block Puzzle,GAME,4.6,59907,7.8M,5000000,Free,0.0,Everyone,Puzzle,"March 6, 2018",2.9,2.3 and up,0.035221354404960235
Bubble Shooter Genies,GAME,4.5,26985,41M,5000000,Free,0.0,Everyone,Casual,"June 4, 2018",1.9.1,4.0.3 and up,0.04798845598845598
Blossom Blast Saga,GAME,4.5,1125438,63M,10000000,Free,0.0,Everyone,Casual,"July 5, 2018",57.0.8,4.0.3 and up,0.00571446107904441
Bubble Shooter 2,GAME,4.3,23043,Varies with device,5000000,Free,0.0,Everyone,Arcade,"July 25, 2018",3.5,4.1 and up,0.28484848484848485
Gems or jewels ?,GAME,4.7,171448,13M,10000000,Free,0.0,Teen,Puzzle,"August 3, 2018",1.0.109,4.0 and up,0.14020820036445036
Candy Crush Jelly Saga,GAME,4.3,1300619,78M,50000000,Free,0.0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up,-0.09233435751843286
Best Fiends - Free Puzzle Game,GAME,4.6,1480182,Varies with device,10000000,Free,0.0,Everyone,Casual,"August 2, 2018",5.8.1,Varies with device,0.32499999999999996
Hill Climb Racing 2,GAME,4.6,2750645,Varies with device,100000000,Free,0.0,Everyone,Racing,"August 2, 2018",1.17.2,4.2 and up,0.16214076741018377
Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,10000000,Free,0.0,Everyone,Casual,"July 23, 2018",60,4.1 and up,-0.18333333333333335
Bubble Shooter Space,GAME,4.2,4355,Varies with device,1000000,Free,0.0,Everyone,Casual,"July 17, 2017",1.6,2.3 and up,0.18493055555555557
1LINE – One Line with One Touch,GAME,4.6,214878,10M,10000000,Free,0.0,Everyone,Board,"August 3, 2018",2.0.4,4.1 and up,0.19629029961266803
